
18;addImage;AssetImageController;2020-04-12 22:02:44;POST/DELETE0 - 0_x5ZW8.jpg - 
18;editUser;UserController;2020-04-12 22:32:19;POST/DELETE18 - nicole - '' - bendu - 450203961 - n@m.com - 45020396 - 
44;addImage;AssetImageController;2020-04-13 11:26:46;POST/DELETE0 - 0_n4kxl.jpg - 
44;profileImageUpload;UserController;2020-04-13 11:29:14;POST/DELETE44 - 44_4vyYC.jpg
44;profileImageUpload;UserController;2020-04-13 11:29:23;POST/DELETE44 - 44_9q8T2.jpg
44;profileImageUpload;UserController;2020-04-13 12:12:11;POST/DELETE44 - 44_Ldm78.jpg
44;addAsset;AssetController;2020-04-13 12:58:18;POST/DELETE44 - 1 - bbbb - bbbbbbb - 1 - 1
44;addAsset;AssetController;2020-04-13 12:59:55;POST/DELETE44 - 1 - ttt - ttttttttt - 1 - 1
44;addAsset;AssetController;2020-04-13 13:04:17;POST/DELETE44 - 2 - bbbbb - bbbbbbbbbb - 1 - 1
44;addAsset;AssetController;2020-04-13 13:11:21;POST/DELETE44 - 2 - blomst - blooooo - 1 - 1
44;addImage;AssetImageController;2020-04-13 13:11:21;POST/DELETE0 - 0_kcjPY.jpg - 
44;profileImageUpload;UserController;2020-04-13 13:12:04;POST/DELETE44 - 44_h4fzU.jpg
-1;getAssetTypes;AssetTypeController;2020-04-13 14:39:49;GET
-1;getAssetTypes;AssetTypeController;2020-04-13 14:39:49;GET
-1;getAllAssetTypes;AssetTypeController;2020-04-13 18:53:04;GET;null
-1;getUsers;UserController;2020-04-13 18:54:10;GET;null
-1;getAllAssetTypes;AssetTypeController;2020-04-13 18:54:11;GET;null
52;login;UserController;2020-04-13 19:15:22;GET;52 - John@er.best - 2020-04-13 19:15:22
-1;getAllAssetTypes;AssetTypeController;2020-04-13 19:15:23;GET;null
52;getMyAssets;AssetController;2020-04-13 19:15:27;GET;52
-1;getAllAssetTypes;AssetTypeController;2020-04-13 19:15:29;GET;null
-1;getUsers;UserController;2020-04-13 19:20:08;GET;null
-1;getAllAssetTypes;AssetTypeController;2020-04-13 19:20:08;GET;null
-1;getAllAssetTypes;AssetTypeController;2020-04-13 19:23:27;GET;null
-1;getUsers;UserController;2020-04-13 19:23:27;GET;null
-1;getUsers;UserController;2020-04-13 19:27:42;GET;null
-1;getAllAssetTypes;AssetTypeController;2020-04-13 19:27:42;GET;null
52;addAsset;AssetController;2020-04-13 19:28:41;POST/DELETE;52 - 3 - 1 - 1 - 1 - 1
52;getMyAssets;AssetController;2020-04-13 19:28:42;GET;52
-1;getUsers;UserController;2020-04-13 19:30:47;GET;null
-1;getAllAssetTypes;AssetTypeController;2020-04-13 19:30:47;GET;null
-1;getUsers;UserController;2020-04-13 19:32:16;GET;null
-1;getAllAssetTypes;AssetTypeController;2020-04-13 19:32:16;GET;null
52;getMyAssets;AssetController;2020-04-13 19:32:22;GET;52
-1;getAllAssetTypes;AssetTypeController;2020-04-13 19:32:24;GET;null
52;addAsset;AssetController;2020-04-13 19:33:20;POST/DELETE;52 - 8 - reeeee - reeeeee - 1 - 1
52;getMyAssets;AssetController;2020-04-13 19:33:22;GET;52
-1;getAllAssetTypes;AssetTypeController;2020-04-13 19:34:16;GET;null
52;addAsset;AssetController;2020-04-13 19:34:20;POST/DELETE;52 - 6 - 33 - 333333 - 1 - true
52;getMyAssets;AssetController;2020-04-13 19:34:22;GET;52
-1;getUsers;UserController;2020-04-13 19:36:04;GET;null
-1;getAllAssetTypes;AssetTypeController;2020-04-13 19:36:04;GET;null
52;getMyAssets;AssetController;2020-04-13 19:36:20;GET;52
-1;getAllAssetTypes;AssetTypeController;2020-04-13 19:36:21;GET;null
52;addAsset;AssetController;2020-04-13 19:36:37;POST/DELETE;52 - 2 - dsds - dsdsd - 1 - true
52;getMyAssets;AssetController;2020-04-13 19:36:38;GET;52
-1;getUsers;UserController;2020-04-13 19:37:04;GET;null
-1;getAllAssetTypes;AssetTypeController;2020-04-13 19:37:04;GET;null
52;getMyAssets;AssetController;2020-04-13 19:37:09;GET;52
-1;getAllAssetTypes;AssetTypeController;2020-04-13 19:38:39;GET;null
52;addAsset;AssetController;2020-04-13 19:39:12;POST/DELETE;52 - 6 - klays - dsdsds - 1 - true
52;addImage;AssetImageController;2020-04-13 19:39:12;POST/DELETE;83 - 83_cXmil.png - 
52;getMyAssets;AssetController;2020-04-13 19:39:14;GET;52
